nrun  cer1  cer2  cer3  cer4  cer5  cer6  cer7  cer8  cer9  cer10
1207  0.29  0.69  0.10  0.71  0.42  1.47  0.46  0.81  0.10  0.26  
1208  0.60  0.49  0.21  0.81  0.35  1.41  0.42  0.80  0.20  0.38  
1209  0.58  0.54  0.17  0.87  0.39  1.49  0.48  0.80  0.12  0.29  
1210  0.55  0.61  0.27  0.83  0.40  1.51  0.46  0.77  0.16  0.39  
1211  0.59  0.61  0.08  0.85  0.35  1.48  0.45  0.79  0.11  0.33  
1212  0.59  0.60  0.14  1.14  0.32  1.45  0.41  0.63  0.12  0.26  
1213  0.58  0.53  0.18  0.51  0.37  1.52  0.48  0.77  0.16  0.36  
1214  0.55  0.56  0.04  0.45  0.33  1.46  0.50  0.65  0.19  0.29  
1215  0.58  0.62  0.24  0.86  0.39  1.48  0.49  0.71  0.10  0.38  
1216  0.58  0.60  0.17  0.54  0.34  1.44  0.49  0.77  0.15  0.29  
1217  0.56  0.56  0.22  1.19  0.40  1.54  0.39  0.79  0.17  0.35  
1219  0.58  0.70  0.09  0.77  0.28  1.52  0.50  0.73  0.15  0.33  
1220  0.57  0.60  0.13  0.89  0.32  1.54  0.43  0.79  0.07  0.32  
1221  0.58  0.58  0.07  0.53  0.31  1.54  0.45  0.81  0.03  0.34  
1222  0.59  0.59  0.09  0.86  0.28  1.53  0.47  0.81  0.14  0.34  
1223  0.59  0.63  0.10  0.90  0.29  1.48  0.44  0.77  0.15  0.34  
1224  0.61  0.63  0.08  0.87  0.36  1.49  0.43  0.65  0.14  0.31  
1225  0.60  0.61  0.12  0.55  0.30  1.51  0.44  0.59  0.10  0.32  
1231  0.60  0.61  0.01  1.00  0.35  1.50  0.49  0.80  0.20  0.33  
1233  0.50  0.64  -0.06  0.62  0.36  1.46  0.41  0.72  0.11  0.49  
1234  0.22  0.25  0.17  1.16  0.22  0.53  0.12  0.13  0.21  0.28  
1235  0.58  0.61  0.14  0.95  0.29  1.60  0.49  0.77  0.05  0.26  
1236  0.60  0.65  0.18  0.92  0.36  1.57  0.47  0.71  0.11  0.32  
1237  0.59  0.66  0.31  0.83  0.34  1.52  0.40  0.73  0.02  0.25  
1238  0.57  0.59  0.27  0.92  0.31  1.62  0.48  0.70  0.05  0.26  
