x Q^2[GeV^2] y E[%] E'[%] AC[%] RC[%] RE[%] d^2_σ_meas/dxdQ^2[b*GeV^-2] F2p ∆F2_stat ∆F2_syst
0.1400 1.860 0.082 3.2 2.6 1.1 0.0 0.1 0.188E-06 0.3772 0.0224 0.0162
0.1400 2.490 0.110 2.3 1.7 0.7 0.0 0.1 0.101E-06 0.3704 0.0073 0.0111
0.1400 3.480 0.141 1.7 1.1 0.3 0.0 0.1 0.496E-07 0.3743 0.0064 0.0078
0.1400 4.460 0.172 1.4 0.8 0.2 0.1 0.1 0.292E-07 0.3579 0.0065 0.0059
0.1400 5.470 0.201 1.2 0.6 0.3 0.1 0.1 0.190E-07 0.3431 0.0076 0.0048
0.1400 6.840 0.212 1.1 0.4 0.5 0.1 0.2 0.118E-07 0.3551 0.0070 0.0047
0.1400 8.940 0.213 1.0 0.3 0.8 0.1 0.4 0.686E-08 0.3742 0.0112 0.0053
0.1400 11.39 0.217 0.2 0.2 1.1 0.1 0.7 0.426E-08 0.3692 0.0091 0.0050
0.1400 14.96 0.233 0.2 0.3 1.4 0.1 0.6 0.247E-08 0.3646 0.0069 0.0058
0.1400 19.79 0.289 0.2 0.2 1.7 0.2 0.6 0.136E-08 0.3591 0.0054 0.0068
0.1400 26.55 0.374 0.2 0.0 2.1 0.4 0.8 0.711E-09 0.3683 0.0058 0.0084
0.1400 35.20 0.489 0.2 0.5 2.4 0.9 1.0 0.373E-09 0.3572 0.0098 0.0100
0.1800 2.670 0.092 2.7 2.0 1.2 0.0 0.1 0.685E-07 0.3701 0.0111 0.0131
0.1800 3.480 0.114 2.1 1.4 0.7 0.0 0.1 0.384E-07 0.3397 0.0075 0.0088
0.1800 4.470 0.135 1.7 1.0 0.3 0.0 0.1 0.225E-07 0.3646 0.0080 0.0072
0.1800 5.470 0.158 1.4 0.7 0.1 0.0 0.1 0.146E-07 0.3304 0.0085 0.0054
0.1800 6.870 0.175 1.2 0.5 0.4 0.1 0.2 0.894E-08 0.3466 0.0078 0.0049
0.1800 8.890 0.174 1.1 0.4 0.8 0.1 0.4 0.525E-08 0.3446 0.0118 0.0049
0.1800 11.33 0.192 1.0 0.3 1.1 0.1 0.5 0.320E-08 0.3488 0.0109 0.0056
0.1800 14.97 0.183 0.2 0.4 1.4 0.1 0.6 0.186E-08 0.3333 0.0079 0.0054
0.1800 19.86 0.229 0.2 0.2 1.8 0.1 0.6 0.102E-08 0.3343 0.0060 0.0063
0.1800 26.66 0.294 0.2 0.1 2.1 0.3 0.6 0.536E-09 0.3359 0.0061 0.0074
0.1800 35.14 0.378 0.2 0.5 2.4 0.5 0.8 0.289E-09 0.3491 0.0081 0.0092
0.1800 45.75 0.490 0.2 0.5 2.7 0.9 1.0 0.157E-09 0.3650 0.0153 0.0111
0.2250 2.900 0.080 2.8 2.1 1.0 0.0 0.1 0.456E-07 0.3389 0.0321 0.0123
0.2250 3.510 0.097 2.2 1.5 0.7 0.0 0.1 0.295E-07 0.3372 0.0089 0.0094
0.2250 4.490 0.112 1.8 1.1 0.3 0.0 0.1 0.172E-07 0.3258 0.0079 0.0069
0.2250 5.470 0.129 1.5 0.8 0.2 0.0 0.1 0.113E-07 0.3340 0.0090 0.0059
0.2250 6.880 0.154 1.3 0.6 0.5 0.0 0.1 0.684E-08 0.3234 0.0079 0.0049
0.2250 8.870 0.154 1.1 0.4 0.8 0.1 0.3 0.400E-08 0.3109 0.0103 0.0046
0.2250 11.37 0.158 1.0 0.3 1.1 0.1 0.5 0.240E-08 0.3445 0.0111 0.0056
0.2250 15.03 0.148 0.2 0.4 1.4 0.1 0.6 0.138E-08 0.3104 0.0080 0.0050
0.2250 19.86 0.185 0.2 0.2 1.7 0.1 0.6 0.764E-09 0.3034 0.0058 0.0056
0.2250 26.72 0.237 0.2 0.1 2.0 0.2 0.6 0.403E-09 0.3117 0.0060 0.0066
0.2250 35.29 0.305 0.2 0.5 2.3 0.3 0.6 0.218E-09 0.2986 0.0070 0.0073
0.2250 46.57 0.401 0.2 0.5 2.5 0.6 0.8 0.116E-09 0.3114 0.0118 0.0087
0.2750 3.750 0.085 2.2 1.4 1.6 0.0 0.1 0.201E-07 0.3063 0.0149 0.0093
0.2750 4.470 0.101 1.8 1.0 1.1 0.0 0.1 0.134E-07 0.3105 0.0104 0.0072
0.2750 5.480 0.109 1.5 0.7 0.8 0.0 0.1 0.859E-08 0.3058 0.0101 0.0057
0.2750 6.890 0.128 1.2 0.5 0.9 0.0 0.1 0.519E-08 0.3038 0.0086 0.0050
0.2750 8.820 0.156 1.0 0.3 1.1 0.0 0.1 0.302E-08 0.3032 0.0125 0.0047
0.2750 11.45 0.135 1.0 0.2 1.3 0.0 0.4 0.177E-08 0.2761 0.0111 0.0047
0.2750 14.91 0.143 0.9 0.0 1.5 0.1 0.5 0.102E-08 0.2900 0.0110 0.0053
0.2750 19.88 0.152 0.2 0.1 1.7 0.1 0.6 0.566E-09 0.2789 0.0065 0.0051
0.2750 26.74 0.195 0.2 0.1 1.9 0.1 0.5 0.299E-09 0.2610 0.0060 0.0052
0.2750 35.34 0.253 0.2 0.2 2.1 0.2 0.5 0.162E-09 0.2778 0.0071 0.0061
0.2750 46.99 0.332 0.3 0.5 2.3 0.4 0.6 0.856E-10 0.2726 0.0110 0.0067
0.2750 59.79 0.418 0.3 0.5 2.4 0.7 1.3 0.492E-10 0.1865 0.0284 0.0054
0.3500 4.620 0.082 1.5 0.7 4.6 0.0 0.1 0.882E-08 0.2773 0.0118 0.0136
0.3500 5.460 0.097 1.2 0.3 3.6 0.0 0.1 0.589E-08 0.2578 0.0095 0.0098
0.3500 6.970 0.106 0.9 0.0 2.3 0.0 0.1 0.341E-08 0.2685 0.0072 0.0066
0.3500 8.820 0.124 0.7 0.2 2.1 0.0 0.1 0.202E-08 0.2482 0.0087 0.0056
0.3500 11.320 0.150 0.6 0.3 2.0 0.1 0.2 0.116E-08 0.2331 0.0117 0.0049
0.3500 14.830 0.126 0.5 0.4 1.9 0.0 0.6 0.663E-09 0.2171 0.0080 0.0045
0.3500 20.240 0.128 0.4 0.5 1.8 0.0 0.6 0.348E-09 0.2229 0.0057 0.0045
0.3500 26.670 0.155 0.3 0.5 2.0 0.1 0.5 0.193E-09 0.2131 0.0043 0.0045
0.3500 35.420 0.201 0.3 0.5 2.3 0.1 0.5 0.104E-09 0.2135 0.0048 0.0053
0.3500 46.650 0.259 0.3 0.5 2.6 0.2 0.5 0.565E-10 0.2180 0.0064 0.0060
0.3500 61.210 0.337 0.4 0.5 2.8 0.4 1.2 0.305E-10 0.2312 0.0190 0.0073
0.5000 5.730 0.072 1.4 2.6 11.0 0.0 0.1 0.252E-08 0.1569 0.0158 0.0178
0.5000 6.930 0.087 1.3 2.5 9.1 0.0 0.1 0.156E-08 0.1680 0.0075 0.0160
0.5000 8.880 0.093 1.4 2.6 6.8 0.0 0.1 0.848E-09 0.1356 0.0062 0.0100
0.5000 11.270 0.105 1.5 2.7 4.7 0.0 0.2 0.481E-09 0.1412 0.0074 0.0079
0.5000 14.370 0.133 1.2 2.4 2.7 0.0 0.2 0.274E-09 0.1321 0.0099 0.0051
0.5000 20.050 0.110 2.0 3.2 1.5 0.0 0.7 0.133E-09 0.1167 0.0057 0.0048
0.5000 27.240 0.115 0.7 0.6 1.8 0.0 0.5 0.677E-10 0.1154 0.0034 0.0025
0.5000 35.510 0.142 0.7 0.6 3.0 0.1 0.5 0.378E-10 0.1086 0.0027 0.0034
0.5000 46.630 0.183 0.7 0.5 3.9 0.1 0.4 0.206E-10 0.1012 0.0033 0.0041
0.5000 62.340 0.243 0.7 0.5 4.6 0.3 1.1 0.107E-10 0.1081 0.0086 0.0052
